支払手段,取引先名称,科目,細目
LIFEカード,メルカリ,消耗品,日用品
JCBデビット,ダイチタクハイ,交通費,タクシー
みずほ口座,ＪＣＢデビット,カードの引落,JCBデビット引落
みずほ口座,ライフカード,カードの引落,LIFEカード引落
