科目,細目
食費,朝食
食費,飲料
食費,カフェ
食費,昼食
食費,夕食
食費,間食
交際費,贈答
交際費,イベント
交際費,飲食
交際費,その他
消耗品,日用品
消耗品,生活用品
消耗品,その他
交通費,バス
交通費,電車
交通費,その他
美容・衣類,洋服
美容・衣類,ジム
美容・衣類,美容院
美容・衣類,コスメ
その他,雑費
その他,手数料
その他,精算
立替・資金移動,精算
立替・資金移動,カード引落
教養,習い事
教養,会場
教養,参考書
教養,学費
通信費,携帯電話
通信費,アプリ
医療費,医薬品
医療費,診察
住居費,家賃
住居費,家電
水道光熱費,電気
水道光熱費,ガス
水道光熱費,水道
税金,所得税
税金,相続税
大型出費,大型出費
