日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2026-03-24,payment,食費,食料品,-,-,H)午後の紅茶チャイラ,,ニューデイズ戸塚地下,"（プレミアム会員で表示）",0,183,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-03-24,payment,食費,昼ご飯,-,-,ナッツサワークリームオ,,ニューデイズ戸塚地下,"（プレミアム会員で表示）",0,127,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-03-25,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-03-25,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-03-26,payment,交際費,その他,Suica,-,,,-,"（プレミアム会員で表示）",0,100,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-03-27,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-03-27,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜駅南口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-03-28,payment,交通,電車,-,-,,,-,"（プレミアム会員で表示）",0,528,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-03-28,payment,交通,電車,-,-,,,-,"（プレミアム会員で表示）",0,528,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-03-29,payment,食費,カフェ,Suica,-,抹茶ラテ(HDT)R,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,590,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-03-29,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-04-01,payment,食費,食料品,-,-,,,-,"（プレミアム会員で表示）",0,130,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
