日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2026-08-10,payment,食費,朝ご飯,Suica,-,ホットティダージリン,,"ミスタードーナツ 戸塚西口ショップ","（プレミアム会員で表示）",0,330,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-13,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-13,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-21,payment,交際費,飲み会,Suica,-,,,-,"（プレミアム会員で表示）",0,3000,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-25,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-25,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-30,payment,教育・教養,習い事,Suica,-,,,-,"（プレミアム会員で表示）",0,5000,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-30,payment,医療・保険,その他,Suica,-,,,-,"（プレミアム会員で表示）",0,13000,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-08-31,payment,教育・教養,習い事,Suica,-,,,-,"（プレミアム会員で表示）",0,120,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-09-02,payment,食費,昼ご飯,Suica,-,クロックムッシコドリンクセッ,,ベックスコーヒーアトレ大船店,"（プレミアム会員で表示）",0,930,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-09-02,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー小田原店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-09-02,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー小田原店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-09-03,payment,交際費,その他,Suica,-,赤魚吟醸酒粕焼定食,,-,"（プレミアム会員で表示）",0,1518,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-09-03,payment,交際費,その他,Suica,-,ドリンクセット40(サンド),,"カフェ・ド・クリエSaclass 戸塚店","（プレミアム会員で表示）",0,960,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-09-03,payment,交際費,その他,Suica,-,ルイボス,,"カフェ・ド・クリエSaclass 戸塚店","（プレミアム会員で表示）",0,420,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-09-07,payment,食費,カフェ,Suica,-,,,-,"（プレミアム会員で表示）",0,110,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-09-10,payment,食費,カフェ,Suica,-,ロイヤルミルクティーS,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,500,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-09-10,payment,食費,カフェ,Suica,-,割引,,ベックスコーヒー横浜北口店,"（プレミアム会員で表示）",0,-390,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-09-13,payment,教育・教養,その他,Suica,-,,,-,"（プレミアム会員で表示）",0,360,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
2026-09-13,payment,教育・教養,その他,Suica,-,,,-,"（プレミアム会員で表示）",0,480,"（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）","（プレミアム会員で表示）"
