ご利用者,お振替日,ご利用先など,お振替金額（￥）,摘要,承認番号
1295,2026/3/28,三和サクラス戸塚店,567,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[803233]
1295,2026/3/28,２２１３ハックドラッグサクラス戸塚店,382,Ａｐｐｌｅ　Ｐａｙご利用分,[750371]
1295,2026/3/28,セリア２３０７サクラス戸塚店,110,Ａｐｐｌｅ　Ｐａｙご利用分,[312951]
1295,2026/3/28,三和サクラス戸塚店,138,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[301505]
1295,2026/3/27,三和サクラス戸塚店,468,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[918641]
1295,2026/3/27,デイリーヤマザキ,168,Ａｐｐｌｅ　Ｐａｙご利用分,[609299]
1295,2026/3/27,タリーズコーヒー,555,Ａｐｐｌｅ　Ｐａｙご利用分,[511629]
1295,2026/3/27,ドトールコーヒー,160,Ａｐｐｌｅ　Ｐａｙご利用分,[350045]
1295,2026/3/27,ドトールコーヒー,300,Ａｐｐｌｅ　Ｐａｙご利用分,[341797]
1295,2026/3/27,ファミリーマート　サンズ戸塚駅北,140,Ａｐｐｌｅ　Ｐａｙご利用分,[969789]
1295,2026/3/27,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,"3,480",,[733835]
1295,2026/3/26,三和サクラス戸塚店,277,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[215565]
1295,2026/3/26,三本珈琲店,"1,413",Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[897407]
1295,2026/3/26,小田原城天守閣,"2,000",Ａｐｐｌｅ　Ｐａｙご利用分,[696493]
1295,2026/3/26,一〇八抹茶茶廊,850,Ａｐｐｌｅ　Ｐａｙご利用分,[511795]
1295,2026/3/25,メルカリＳｈｏｐｓ,680,,[577907]
1295,2026/3/25,業務スーパー　戸塚店,412,Ａｐｐｌｅ　Ｐａｙご利用分,[372633]
1295,2026/3/25,Ｓｕｉｃａ〔携帯決済〕,"10,000",Ａｐｐｌｅ　Ｐａｙご利用分,[259117]
1295,2026/3/25,サンマルクカフェ　西鉄イン新宿店,370,Ａｐｐｌｅ　Ｐａｙご利用分,[010569]
1295,2026/3/25,まいばすけっと,89,Ａｐｐｌｅ　Ｐａｙご利用分,[992611]
1295,2026/3/25,メルカリ,"1,699",Ａｐｐｌｅ　Ｐａｙご利用分,[766961]
1295,2026/3/25,メルカリ,899,Ａｐｐｌｅ　Ｐａｙご利用分,[766605]
1295,2026/3/25,メルカリ,"3,200",Ａｐｐｌｅ　Ｐａｙご利用分,[765179]
1295,2026/3/25,Ｊクロフーズ・ＭＰ－１０,341,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[318411]
1295,2026/3/24,ローソン旭本村町,235,Ａｐｐｌｅ　Ｐａｙご利用分,[465425]
1295,2026/3/24,クリエイトエス・ディー,185,Ａｐｐｌｅ　Ｐａｙご利用分,[193017]
1295,2026/3/24,ららぽーと海老名,540,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[783949]
1295,2026/3/24,デイリーヤマザキ,190,Ａｐｐｌｅ　Ｐａｙご利用分,[689957]
1295,2026/3/24,デイリーヤマザキ,153,Ａｐｐｌｅ　Ｐａｙご利用分,[554661]
1295,2026/3/23,メルカリ,"1,280",Ａｐｐｌｅ　Ｐａｙご利用分,[030529]
1295,2026/3/23,２２１３ハックドラッグサクラス戸塚店,327,Ａｐｐｌｅ　Ｐａｙご利用分,[932603]
1295,2026/3/23,業務スーパー　戸塚店,"1,233",Ａｐｐｌｅ　Ｐａｙご利用分,[919763]
1295,2026/3/23,八洋〔飲料自販機〕,140,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[779343]
1295,2026/3/23,ｈｏｌｌｏ　ＳＨＩＢＵＹＡ,"6,600",Ａｐｐｌｅ　Ｐａｙご利用分,[776415]
1295,2026/3/23,ファミリーマート　渋谷ガーデンフロント,138,Ａｐｐｌｅ　Ｐａｙご利用分,[647439]
1295,2026/3/23,大地宅配,"1,980",（利用日）：２０２６年３月２８日,[837483]
1295,2026/3/23,まいばすけっと,967,Ａｐｐｌｅ　Ｐａｙご利用分,[817707]
1295,2026/3/23,横浜市営地下鉄　タッチ決済,484,Ａｐｐｌｅ　Ｐａｙご利用分/（利用日）：２０２６年３月２２日,[690797]
1295,2026/3/22,ベッド寝具専門店　イ－ズスペ－ス,"6,999",（利用日）：２０２６年３月２６日,[417039]
1295,2026/3/22,メルカリ,"1,100",Ａｐｐｌｅ　Ｐａｙご利用分,[347855]
1295,2026/3/22,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,"6,630",（利用日）：２０２６年３月２４日,[303573]
1295,2026/3/22,三和サクラス戸塚店,759,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[979845]
1295,2026/3/22,ファミリーマート　港南中央通,236,Ａｐｐｌｅ　Ｐａｙご利用分,[723581]
1295,2026/3/22,横浜市営地下鉄　タッチ決済,692,Ａｐｐｌｅ　Ｐａｙご利用分/（利用日）：２０２６年３月２１日,[034701]
1295,2026/3/21,三和サクラス戸塚店,415,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[370107]
1295,2026/3/21,ＮｅｗＤａｙｓ／ＫＩＯＳＫ,156,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[234917]
1295,2026/3/21,ＣＬＡＵＤＥ．ＡＩ　ＳＵＢＳＣＲＩＰＴＩＯＮ,"3,316",（利用金額）：３，３４７円/【差額発生】/（現地通貨額）２０．０００ＵＳＤ/（換算レート）１６７．３５００円／ＵＳＤ/（換算日）２０２６年３月２３日,[807809]
1295,2026/3/21,ローソン湘南台駅前,361,Ａｐｐｌｅ　Ｐａｙご利用分,[793113]
1295,2026/3/21,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,"2,899",,[726927]
1295,2026/3/21,ＤＣＳ・湘南台西口駅前店,810,Ａｐｐｌｅ　Ｐａｙご利用分,[700623]
1295,2026/3/21,ＮｅｗＤａｙｓ／ＫＩＯＳＫ,156,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[539315]
1295,2026/3/21,ユニクロ,"2,990",Ａｐｐｌｅ　Ｐａｙご利用分,[484859]
1295,2026/3/20,ＪＲ東日本エキナカ自販機　ａｃｕｒｅ,160,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[892339]
1295,2026/3/20,ジョイナス,"3,050",Ａｐｐｌｅ　Ｐａｙご利用分,[798795]
1295,2026/3/20,２２１３ハックドラッグサクラス戸塚店,742,Ａｐｐｌｅ　Ｐａｙご利用分,[949201]
1295,2026/3/20,セリア２３０７サクラス戸塚店,115,Ａｐｐｌｅ　Ｐａｙご利用分,[941673]
1295,2026/3/20,ニトリ,"1,998",,[936799]
1295,2026/3/19,三和サクラス戸塚店,116,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[702879]
1295,2026/3/19,セブン－イレブン横浜川和町店,108,Ａｐｐｌｅ　Ｐａｙご利用分,[463307]
1295,2026/3/19,ダイドードリンコ　飲料自販機,110,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[334175]
1295,2026/3/19,まいばすけっと,105,Ａｐｐｌｅ　Ｐａｙご利用分,[032505]
1295,2026/3/19,スーパーマルヤマ　藤棚店,117,Ａｐｐｌｅ　Ｐａｙご利用分,[027083]
1295,2026/3/19,ＮｅｗＤａｙｓ／ＫＩＯＳＫ,127,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[762871]
1295,2026/3/18,業務スーパー　戸塚店,"1,465",Ａｐｐｌｅ　Ｐａｙご利用分,[960347]
1295,2026/3/18,ＪＲ東日本エキナカ自販機　ａｃｕｒｅ,160,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[294357]
1295,2026/3/18,セブン－イレブン茅ヶ崎今宿東店,34,Ａｐｐｌｅ　Ｐａｙご利用分,[164971]
1295,2026/3/18,ローソンストア１００茅ヶ崎十間坂,282,Ａｐｐｌｅ　Ｐａｙご利用分,[147107]
1295,2026/3/18,ＮｅｗＤａｙｓ／ＫＩＯＳＫ,127,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[040669]
1295,2026/3/17,三和サクラス戸塚店,438,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[385949]
1295,2026/3/17,まいばすけっと,95,Ａｐｐｌｅ　Ｐａｙご利用分,[271455]
1295,2026/3/17,ローソン寒川岡田,185,Ａｐｐｌｅ　Ｐａｙご利用分,[862835]
1295,2026/3/17,ローソン寒川岡田,185,Ａｐｐｌｅ　Ｐａｙご利用分,[434771]
1295,2026/3/16,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,948,（利用日）：２０２６年３月１７日,[947083]
1295,2026/3/16,東急ストア,105,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[931553]
1295,2026/3/16,ＤＣＳ・ＥｎｅＪｅｔ狩場インター店,380,Ａｐｐｌｅ　Ｐａｙご利用分,[556387]
1295,2026/3/16,まいばすけっと,320,Ａｐｐｌｅ　Ｐａｙご利用分,[241243]
1295,2026/3/16,Ａｍａｚｏｎプライム会費,600,,[222099]
1295,2026/3/16,ファミリーマート　相鉄二俣川駅,145,Ａｐｐｌｅ　Ｐａｙご利用分,[193585]
1295,2026/3/16,ファミリーマート　サンズ湘南台一丁目,170,Ａｐｐｌｅ　Ｐａｙご利用分,[144169]
1295,2026/3/16,バーガーキング,580,Ａｐｐｌｅ　Ｐａｙご利用分,[000653]
1295,2026/3/15,ヤマト運輸株式会社,"1,369",Ａｐｐｌｅ　Ｐａｙご利用分,[067285]
1295,2026/3/15,三和サクラス戸塚店,416,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[975087]
1295,2026/3/15,ＪＲ東日本エキナカ自販機　ａｃｕｒｅ,120,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[871175]
1295,2026/3/15,和菓子　菜の花,320,Ａｐｐｌｅ　Ｐａｙご利用分,[852681]
1295,2026/3/15,菓処　ことほぎの木,"1,512",Ａｐｐｌｅ　Ｐａｙご利用分,[841441]
1295,2026/3/15,福来すずめ,160,Ａｐｐｌｅ　Ｐａｙご利用分,[330817]
1295,2026/3/15,小田原吉匠,750,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[289609]
1295,2026/3/15,福来すずめ,680,Ａｐｐｌｅ　Ｐａｙご利用分,[281505]
1295,2026/3/15,タリーズコーヒー,390,Ａｐｐｌｅ　Ｐａｙご利用分,[219205]
1295,2026/3/15,＊ヤマトウンユ,"1,875",,[090421]
1295,2026/3/14,三和サクラス戸塚店,227,,[204041]
1295,2026/3/14,ファミリーマート　サンズ戸塚駅北,285,,[833137]
1295,2026/3/14,セリア２３０７サクラス戸塚店,110,Ａｐｐｌｅ　Ｐａｙご利用分,[300291]
1295,2026/3/14,三和サクラス戸塚店,233,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[297655]
1295,2026/3/13,Ｓｕｉｃａ［携帯決済］,"33,890",Ａｐｐｌｅ　Ｐａｙご利用分,[428401]
1295,2026/3/13,ニトリ,"5,884",,[384717]
1295,2026/3/13,三和サクラス戸塚店,298,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[376135]
1295,2026/3/13,セリア２３０７サクラス戸塚店,550,Ａｐｐｌｅ　Ｐａｙご利用分,[348255]
1295,2026/3/13,２２１３ハックドラッグサクラス戸塚店,294,Ａｐｐｌｅ　Ｐａｙご利用分,[334085]
1295,2026/3/13,ファミリーマート　戸塚駅西口,150,Ａｐｐｌｅ　Ｐａｙご利用分,[018773]
1295,2026/3/13,まいばすけっと,138,Ａｐｐｌｅ　Ｐａｙご利用分,[769275]
1295,2026/3/13,まいばすけっと,138,Ａｐｐｌｅ　Ｐａｙご利用分,[412945]
1295,2026/3/12,まいばすけっと,51,Ａｐｐｌｅ　Ｐａｙご利用分,[625835]
1295,2026/3/12,ファミリーマート　戸塚駅西口,140,Ａｐｐｌｅ　Ｐａｙご利用分,[499351]
1295,2026/3/12,ＤＣＳ・海老名ビナウォーク店,400,Ａｐｐｌｅ　Ｐａｙご利用分,[969603]
1295,2026/3/12,デイリーヤマザキ,198,Ａｐｐｌｅ　Ｐａｙご利用分,[923785]
1295,2026/3/12,Ｓｕｉｃａ〔携帯決済〕,"10,000",Ａｐｐｌｅ　Ｐａｙご利用分,[762677]
1295,2026/3/12,ＮｅｗＤａｙｓ／ＫＩＯＳＫ,127,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[685821]
1295,2026/3/12,ファミリーマート　サンズ戸塚駅北,140,Ａｐｐｌｅ　Ｐａｙご利用分,[680485]
1295,2026/3/11,ＪＲ東日本エキナカ自販機　ａｃｕｒｅ,160,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[201987]
1295,2026/3/11,ポルタ,"1,960",Ａｐｐｌｅ　Ｐａｙご利用分,[002423]
1295,2026/3/11,ドトールコーヒー,400,Ａｐｐｌｅ　Ｐａｙご利用分,[692121]
1295,2026/3/11,快活ＣＬＵＢ　京急川崎駅前,700,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[404939]
1295,2026/3/11,セリア２６５１ウィングキッチン京急川崎店,330,Ａｐｐｌｅ　Ｐａｙご利用分,[272379]
1295,2026/3/11,ＮｅｗＤａｙｓ／ＫＩＯＳＫ,127,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[250727]
1295,2026/3/10,セリア２３０７サクラス戸塚店,110,Ａｐｐｌｅ　Ｐａｙご利用分,[239151]
1295,2026/3/10,三和サクラス戸塚店,768,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[222009]
1295,2026/3/10,セリア２３０７サクラス戸塚店,110,Ａｐｐｌｅ　Ｐａｙご利用分,[200703]
1295,2026/3/10,ファミリーマート　戸塚駅西口,140,Ａｐｐｌｅ　Ｐａｙご利用分,[033651]
1295,2026/3/10,ドラッグストアスマイル藤棚店,"1,085",Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[497879]
1295,2026/3/10,まいばすけっと,338,Ａｐｐｌｅ　Ｐａｙご利用分,[222853]
1295,2026/3/10,メルカリ,800,Ａｐｐｌｅ　Ｐａｙご利用分,[213147]
1295,2026/3/9,三和サクラス戸塚店,375,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[525335]
1295,2026/3/9,業務スーパー　戸塚店,592,Ａｐｐｌｅ　Ｐａｙご利用分,[504541]
1295,2026/3/9,ケンタッキーフライドチキン,270,Ａｐｐｌｅ　Ｐａｙご利用分,[400471]
1295,2026/3/9,ＦＣＥｘ旭町通店,"1,848",Ａｐｐｌｅ　Ｐａｙご利用分,[378743]
1295,2026/3/9,ファミリーマート　トツカーナ,140,Ａｐｐｌｅ　Ｐａｙご利用分,[366843]
1295,2026/3/9,戸塚モディ,440,Ａｐｐｌｅ　Ｐａｙご利用分,[358385]
1295,2026/3/9,まいばすけっと,392,Ａｐｐｌｅ　Ｐａｙご利用分,[579929]
1295,2026/3/9,メルカリ,"2,500",Ａｐｐｌｅ　Ｐａｙご利用分,[565747]
1295,2026/3/8,三和サクラス戸塚店,578,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[946273]
1295,2026/3/8,セリア２３０７サクラス戸塚店,220,Ａｐｐｌｅ　Ｐａｙご利用分,[060269]
1295,2026/3/8,三和サクラス戸塚店,511,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[052465]
1295,2026/3/8,横浜市営地下鉄　タッチ決済,484,Ａｐｐｌｅ　Ｐａｙご利用分/（利用日）：２０２６年３月７日,[744275]
1295,2026/3/7,三和サクラス戸塚店,321,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[164467]
1295,2026/3/7,東急ストア,179,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[146899]
1295,2026/3/7,ファミリーマート　港南中央通,273,Ａｐｐｌｅ　Ｐａｙご利用分,[639571]
1295,2026/3/6,株式会社ウィズ,"4,160",,[443567]
1295,2026/3/6,まいばすけっと,65,Ａｐｐｌｅ　Ｐａｙご利用分,[405147]
1295,2026/3/6,ファミリーマート　戸塚駅西口,140,Ａｐｐｌｅ　Ｐａｙご利用分,[269337]
1295,2026/3/6,まいばすけっと,220,Ａｐｐｌｅ　Ｐａｙご利用分,[764755]
1295,2026/3/6,さくらんぼ薬局,"3,090",Ａｐｐｌｅ　Ｐａｙご利用分,[756207]
1295,2026/3/6,井出整形外科内科クリニック,600,Ａｐｐｌｅ　Ｐａｙご利用分,[731005]
1295,2026/3/6,ファミリーマート　横浜天王町,140,Ａｐｐｌｅ　Ｐａｙご利用分,[575823]
1295,2026/3/6,メルカリ,930,Ａｐｐｌｅ　Ｐａｙご利用分,[416111]
1295,2026/3/5,三和サクラス戸塚店,105,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[903539]
1295,2026/3/5,株式会社タイトー,10,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[750797]
1295,2026/3/5,ダイニー,"2,800",Ａｐｐｌｅ　Ｐａｙご利用分,[570493]
1295,2026/3/5,ベローチェ鴨居店,710,Ａｐｐｌｅ　Ｐａｙご利用分,[925533]
1295,2026/3/5,まいばすけっと,200,Ａｐｐｌｅ　Ｐａｙご利用分,[877213]
1295,2026/3/5,まいばすけっと,150,Ａｐｐｌｅ　Ｐａｙご利用分,[665903]
1295,2026/3/4,三和サクラス戸塚店,129,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[915389]
1295,2026/3/4,ファミリーマート　地下鉄戸塚駅,150,Ａｐｐｌｅ　Ｐａｙご利用分,[752137]
1295,2026/3/4,ＤＣＳ・ＥｎｅＪｅｔ狩場インター店,380,Ａｐｐｌｅ　Ｐａｙご利用分,[313747]
1295,2026/3/4,まいばすけっと,138,Ａｐｐｌｅ　Ｐａｙご利用分,[980577]
1295,2026/3/4,ファミリーマート　サンズ戸塚駅北,140,Ａｐｐｌｅ　Ｐａｙご利用分,[937039]
1295,2026/3/3,メルカリ,"1,499",Ａｐｐｌｅ　Ｐａｙご利用分,[389847]
1295,2026/3/3,三和サクラス戸塚店,211,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[256919]
1295,2026/3/3,ケンタッキーフライドチキン,270,Ａｐｐｌｅ　Ｐａｙご利用分,[042177]
1295,2026/3/3,ダイドードリンコ　飲料自販機,140,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[941455]
1295,2026/3/3,ファミリーマート　平塚駅北口,288,Ａｐｐｌｅ　Ｐａｙご利用分,[695019]
1295,2026/3/3,ＤＣＳ・平塚ユーユー駅前館店,310,Ａｐｐｌｅ　Ｐａｙご利用分,[671559]
1295,2026/3/3,まいばすけっと,212,Ａｐｐｌｅ　Ｐａｙご利用分,[551685]
1295,2026/3/2,三和サクラス戸塚店,825,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[614357]
1295,2026/3/2,ダイソー,110,Ａｐｐｌｅ　Ｐａｙご利用分,[420935]
1295,2026/3/2,まいばすけっと,837,Ａｐｐｌｅ　Ｐａｙご利用分,[583579]
1295,2026/3/2,ファミリーマート　トツカーナ,140,Ａｐｐｌｅ　Ｐａｙご利用分,[570037]
1295,2026/3/2,横浜市営地下鉄　タッチ決済,484,Ａｐｐｌｅ　Ｐａｙご利用分/（利用日）：２０２６年３月１日,[456825]
1295,2026/3/1,メルカリ,"2,500",Ａｐｐｌｅ　Ｐａｙご利用分,[153487]
1295,2026/3/1,三和サクラス戸塚店,147,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[664907]
1295,2026/3/1,業務スーパー　戸塚店,614,Ａｐｐｌｅ　Ｐａｙご利用分,[644473]
1295,2026/3/1,ヨークフーズ港南中央店,212,Ａｐｐｌｅ　Ｐａｙご利用分,[580921]
1295,2026/3/1,ファミリーマート　港南中央通,236,Ａｐｐｌｅ　Ｐａｙご利用分,[249851]
1295,2026/3/1,＊グ－グル　プレイ　アツプ,100,,[139979]
1295,2026/3/1,５倍塾受講生限定フォ－ラム,"3,300",,[823345]
1295,2026/3/1,５倍塾受講生限定フォ－ラム,"3,000",,[119157]
1295,2026/2/28,ローソン　トウキヨウテレポートエキマエ,364,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[840245]
1295,2026/2/28,アイハーブジャパンゴウドウガイシャ,"5,246",,[914655]
1295,2026/2/28,三和サクラス戸塚店,492,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[618791]
1295,2026/2/27,三和サクラス戸塚店,470,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[507189]
1295,2026/2/27,ファミリーマート　トツカーナ,140,Ａｐｐｌｅ　Ｐａｙご利用分,[304845]
1295,2026/2/27,まいばすけっと,632,Ａｐｐｌｅ　Ｐａｙご利用分,[375427]
1295,2026/2/27,ファミリーマート　トツカーナ,130,Ａｐｐｌｅ　Ｐａｙご利用分,[343419]
1295,2026/2/26,ファミリーマート　トツカーナ,140,Ａｐｐｌｅ　Ｐａｙご利用分,[829875]
1295,2026/2/26,赤から横浜西口店,"7,128",Ａｐｐｌｅ　Ｐａｙご利用分,[616987]
1295,2026/2/26,まいばすけっと,277,Ａｐｐｌｅ　Ｐａｙご利用分,[532843]
1295,2026/2/26,ローソン西横浜駅前,279,Ａｐｐｌｅ　Ｐａｙご利用分,[528583]
1295,2026/2/26,ファミリーマート　相鉄横浜駅,130,Ａｐｐｌｅ　Ｐａｙご利用分,[515999]
1295,2026/2/25,三和サクラス戸塚店,127,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[912127]
1295,2026/2/25,八洋〔飲料自販機〕,140,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[795569]
1295,2026/2/25,ｈｏｌｌｏ　ＳＨＩＢＵＹＡ,"13,200",Ａｐｐｌｅ　Ｐａｙご利用分,[789271]
1295,2026/2/25,サンマルクカフェ　西鉄イン新宿店,600,Ａｐｐｌｅ　Ｐａｙご利用分,[348611]
1295,2026/2/25,まいばすけっと,358,Ａｐｐｌｅ　Ｐａｙご利用分,[058427]
1295,2026/2/25,さくらんぼ薬局,"1,580",Ａｐｐｌｅ　Ｐａｙご利用分,[047109]
1295,2026/2/25,井出整形外科内科クリニック,610,Ａｐｐｌｅ　Ｐａｙご利用分,[988341]
1295,2026/2/25,セブン－イレブン横浜戸塚矢部町北店,"1,512",Ａｐｐｌｅ　Ｐａｙご利用分,[583047]
1295,2026/2/24,三和サクラス戸塚店,555,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[912939]
1295,2026/2/24,ＰＳビバレッジ〔飲料自販機〕,110,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[820891]
1295,2026/2/24,セブン－イレブン横浜旭区川島町店,182,Ａｐｐｌｅ　Ｐａｙご利用分,[546183]
1295,2026/2/24,ワタナベストアー　ビナワンフーズ海老名店,396,Ａｐｐｌｅ　Ｐａｙご利用分,[291101]
1295,2026/2/24,ノジマ　マルイファミリー海老名店,"1,780",Ａｐｐｌｅ　Ｐａｙご利用分,[275219]
1295,2026/2/24,ダイドードリンコ　飲料自販機,140,Ａｐｐｌｅ　Ｐａｙご利用分,[181257]
1295,2026/2/24,デイリーヤマザキ,46,Ａｐｐｌｅ　Ｐａｙご利用分,[958815]
1295,2026/2/24,横浜市営地下鉄　タッチ決済,544,Ａｐｐｌｅ　Ｐａｙご利用分/（利用日）：２０２６年２月２３日,[754517]
1295,2026/2/23,三和サクラス戸塚店,276,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[155095]
1295,2026/2/23,バーガーキング,230,Ａｐｐｌｅ　Ｐａｙご利用分,[960007]
1295,2026/2/23,４４　ａｐａｒｔｍｅｎｔ　海老名／ＳＢ,"3,256",Ａｐｐｌｅ　Ｐａｙご利用分,[580195]
1295,2026/2/23,ファミリーマート　サンズ戸塚駅北,140,Ａｐｐｌｅ　Ｐａｙご利用分,[330777]
1295,2026/2/23,横浜市営地下鉄　タッチ決済,484,Ａｐｐｌｅ　Ｐａｙご利用分/（利用日）：２０２６年２月２２日,[104891]
1295,2026/2/22,三和サクラス戸塚店,555,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[369747]
1295,2026/2/22,セリア２３０７サクラス戸塚店,110,Ａｐｐｌｅ　Ｐａｙご利用分,[349639]
1295,2026/2/22,業務スーパー　戸塚店,532,Ａｐｐｌｅ　Ｐａｙご利用分,[334855]
1295,2026/2/22,ファミリーマート　港南中央通,246,Ａｐｐｌｅ　Ｐａｙご利用分,[025607]
1295,2026/2/22,株式会社ウィズ,"1,100",,[829211]
1295,2026/2/22,横浜市営地下鉄　タッチ決済,484,Ａｐｐｌｅ　Ｐａｙご利用分/（利用日）：２０２６年２月２１日,[406399]
1295,2026/2/21,ＮｅｗＤａｙｓ／ＫＩＯＳＫ,151,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[077667]
1295,2026/2/21,フード＆タイム　イセタン　ヨコハマ,"2,750",Ａｐｐｌｅ　Ｐａｙご利用分,[069289]
1295,2026/2/21,ヨークフーズ港南中央店,393,Ａｐｐｌｅ　Ｐａｙご利用分,[722217]
1295,2026/2/21,ファミリーマート　港南中央通,140,Ａｐｐｌｅ　Ｐａｙご利用分,[913667]
1295,2026/2/21,ヨークフーズ港南中央店,418,Ａｐｐｌｅ　Ｐａｙご利用分,[907683]
1295,2026/2/21,ケンタッキーフライドチキン,270,Ａｐｐｌｅ　Ｐａｙご利用分,[842629]
1295,2026/2/20,メルカリ,"6,800",Ａｐｐｌｅ　Ｐａｙご利用分,[355137]
1295,2026/2/20,三和サクラス戸塚店,239,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[008841]
1295,2026/2/20,１２７８マツモトキヨシトツカーナモール店,"1,650",Ａｐｐｌｅ　Ｐａｙご利用分,[993289]
1295,2026/2/20,ＳＱ＊ＰＣクリニック,"2,200",Ａｐｐｌｅ　Ｐａｙご利用分,[731711]
1295,2026/2/20,ファミリーマート　都筑富士見が丘,32,Ａｐｐｌｅ　Ｐａｙご利用分,[678651]
1295,2026/2/20,ダイドードリンコ　飲料自販機,120,Ａｐｐｌｅ　Ｐａｙご利用分,[659269]
1295,2026/2/20,ダイドードリンコ　飲料自販機,110,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[434547]
1295,2026/2/20,ららぽーと横浜,390,Ａｐｐｌｅ　Ｐａｙ／ＱＵＩＣＰａｙご利用分,[365229]
